srk_pncp_item_compra,cod_compra,cod_item_compra,codigo_classe,codigo_grupo,numero_item_pncp,numero_grupo,numero_item_compra,descricao_detalhada,descricao_resumida,material_ou_servico,material_ou_servico_nome,valor_unitario_estimado,valor_total,quantidade,unidade_medida,orcamento_sigiloso,item_categoria_id_pncp,item_categoria_nome,patrimonio,codigo_registro_imobiliario,criterio_julgamento_id_pncp,criterio_julgamento_nome,situacao_compra_item,situacao_compra_item_nome,tipo_beneficio,tipo_beneficio_nome,incentivo_produtivo_basico,data_inclusao_pncp,data_atualizacao_pncp,tem_resultado,cod_item_catalogo,ID_contratacao_PNCP,cod_fornecedor,nome_fornecedor,data_resultado,valor_total_resultado,valor_unitario_resultado,quantidade_resultado,id_compra,id_compra_item,ano_compra,sequencial_compra,orgao_entidade_cnpj,unidade_orgao_codigo_unidade,margem_preferencia_normal,percentual_margem_preferencia_normal,margem_preferencia_adicional,percentual_margem_preferencia_adicional,codigo_NCM,descricao_NCM,numero_controle_PNCP_compra,TXT_LINK_MATERIAL,TXT_LINK_CLASSE,TXT_LINK_SERVICO,TXT_LINK_GRUPO
42067609,9761106,44581967,8915.0,,44,0,44,"FRUTA, TIPO: MELANCIA VERMELHA , APRESENTAÇÃO: NATURAL ",Fruta,M,Material,8.95,608.6,68.0,Quilograma,False,3,Informática (TIC),,,1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2025-11-28 07:00:11,2026-01-25 17:31:46,True,464418.0,27701257000127-1-000002/2025,57957163000184,57.957.163 FERNANDA SILVA DE CARVALHO,2026-01-25,573.24,8.43,68.0,92931605900012025,9293160590001202500044,2025,2,27701257000127,929316,False,,False,,,,27701257000127-1-000002/2025,https://dadosabertos.compras.gov.br/modulo-material/4_consultarItemMaterial?codigoItem=464418,https://dadosabertos.compras.gov.br/modulo-material/2_consultarClasseMaterial?pagina=1&codigoClasse=8915,,
42074447,9761106,44581927,8915.0,,4,0,4,"POLPA DE FRUTA, TIPO: ACEROLA , APRESENTAÇÃO: CONGELADA ",Polpa de fruta,M,Material,32.95,2504.2,76.0,Quilograma,False,3,Informática (TIC),,,1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2025-11-28 07:00:11,2026-01-25 17:13:10,True,464484.0,27701257000127-1-000002/2025,57957163000184,57.957.163 FERNANDA SILVA DE CARVALHO,2026-01-25,2464.68,32.43,76.0,92931605900012025,9293160590001202500004,2025,2,27701257000127,929316,False,,False,,,,27701257000127-1-000002/2025,https://dadosabertos.compras.gov.br/modulo-material/4_consultarItemMaterial?codigoItem=464484,https://dadosabertos.compras.gov.br/modulo-material/2_consultarClasseMaterial?pagina=1&codigoClasse=8915,,
42071038,9761106,44581926,8915.0,,3,0,3,"POLPA DE FRUTA, TIPO: AÇAÍ , APRESENTAÇÃO: CONGELADA ",Polpa de fruta,M,Material,34.95,664.05,19.0,Quilograma,False,3,Informática (TIC),,,1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2025-11-28 07:00:11,2026-01-25 17:10:28,True,464493.0,27701257000127-1-000002/2025,57957163000184,57.957.163 FERNANDA SILVA DE CARVALHO,2026-01-25,654.17,34.43,19.0,92931605900012025,9293160590001202500003,2025,2,27701257000127,929316,False,,False,,,,27701257000127-1-000002/2025,https://dadosabertos.compras.gov.br/modulo-material/4_consultarItemMaterial?codigoItem=464493,https://dadosabertos.compras.gov.br/modulo-material/2_consultarClasseMaterial?pagina=1&codigoClasse=8915,,
42149458,10015984,47722287,,,1,0,1,,"Café apresentação: torrado em grão, intensidade: média, tipo: tradicional",M,Material,93.45,14017.5,150.0,Pacote 1 KG,False,3,Informática (TIC),,,1,Menor preço,1,Em andamento,1,Participação exclusiva para ME/EPP,False,2026-01-25 17:04:22,2026-01-25 17:07:22,,,51907384000161-1-000003/2026,,,,,,,92836706000012026,9283670600001202600001,2026,3,51907384000161,928367,False,,False,,,,51907384000161-1-000003/2026,,,,
42132704,9874405,46060858,,,1,0,1,,"Transdutor Uso Médico compatível: p/ ultrassom, aplicação: intra operatório, modelo: multifrequêncial de banda larga, formato: linear, faixa freqüência: c/ faixa frequência ajustável, componente adicional: c/ cabo",M,Material,27260.1,27260.1,1.0,Unidade,False,3,Informática (TIC),,,1,Menor preço,5,Fracassado,1,Participação exclusiva para ME/EPP,False,2025-12-17 09:45:30,2026-01-25 16:36:07,,,10572048001523-1-000061/2025,,,,,,,92680906000202025,9268090600020202500001,2025,61,10572048001523,926809,False,,False,,,,10572048001523-1-000061/2025,,,,
42149457,10015984,47722286,,,2,0,2,,"Café apresentação: torrado em grão, intensidade: média, tipo: tradicional",M,Material,38.0,19760.0,520.0,Pacote 500 G,False,3,Informática (TIC),,,1,Menor preço,1,Em andamento,1,Participação exclusiva para ME/EPP,False,2026-01-25 17:04:21,2026-01-25 17:07:22,,,51907384000161-1-000003/2026,,,,,,,92836706000012026,9283670600001202600002,2026,3,51907384000161,928367,False,,False,,,,51907384000161-1-000003/2026,,,,
42074481,9761106,44581952,8910.0,,29,0,29,"CREME DE LEITE, TEOR GORDURA: ATÉ 20% DE GORDURA , PROCESSAMENTO: UHT ",Creme De Leite,M,Material,31.95,287.55,9.0,"Embalagem 1,00 KG",False,3,Informática (TIC),,,1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2025-11-28 07:00:11,2026-01-25 17:27:21,True,446532.0,27701257000127-1-000002/2025,57957163000184,57.957.163 FERNANDA SILVA DE CARVALHO,2026-01-25,272.25,30.25,9.0,92931605900012025,9293160590001202500029,2025,2,27701257000127,929316,False,,False,,,,27701257000127-1-000002/2025,https://dadosabertos.compras.gov.br/modulo-material/4_consultarItemMaterial?codigoItem=446532,https://dadosabertos.compras.gov.br/modulo-material/2_consultarClasseMaterial?pagina=1&codigoClasse=8910,,
42067639,9761106,44581956,8905.0,,33,0,33,"CARNE DE AVE IN NATURA, TIPO ANIMAL: FRANGO , TIPO CORTE: COXA E SOBRECOXA , APRESENTAÇÃO: INTEIRO , ESTADO DE CONSERVAÇÃO: CONGELADO(A) , PROCESSAMENTO: COM PELE, COM OSSO ",Carne de ave in natura,M,Material,16.95,2644.2,156.0,Quilograma,False,3,Informática (TIC),,,1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2025-11-28 07:00:11,2026-01-25 17:28:34,True,447636.0,27701257000127-1-000002/2025,57957163000184,57.957.163 FERNANDA SILVA DE CARVALHO,2026-01-25,2301.0,14.75,156.0,92931605900012025,9293160590001202500033,2025,2,27701257000127,929316,False,,False,,,,27701257000127-1-000002/2025,https://dadosabertos.compras.gov.br/modulo-material/4_consultarItemMaterial?codigoItem=447636,https://dadosabertos.compras.gov.br/modulo-material/2_consultarClasseMaterial?pagina=1&codigoClasse=8905,,
42067608,9761106,44581955,8920.0,,32,0,32,"FERMENTO, TIPO: QUÍMICO , APRESENTAÇÃO: PÓ ",Fermento,M,Material,58.95,294.75,5.0,Quilograma,False,3,Informática (TIC),,,1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2025-11-28 07:00:11,2026-01-25 17:28:17,True,459586.0,27701257000127-1-000002/2025,57957163000184,57.957.163 FERNANDA SILVA DE CARVALHO,2026-01-25,283.75,56.75,5.0,92931605900012025,9293160590001202500032,2025,2,27701257000127,929316,False,,False,,,,27701257000127-1-000002/2025,https://dadosabertos.compras.gov.br/modulo-material/4_consultarItemMaterial?codigoItem=459586,https://dadosabertos.compras.gov.br/modulo-material/2_consultarClasseMaterial?pagina=1&codigoClasse=8920,,
42067602,9761106,44581962,8905.0,,39,0,39,"EMBUTIDO, TIPO: LINGUIÇA MISTA , TIPO PREPARAÇÃO: FRESCA , ESTADO DE CONSERVAÇÃO: CONGELADO(A) ",Embutido,M,Material,32.95,4349.4,132.0,Quilograma,False,3,Informática (TIC),,,1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2025-11-28 07:00:11,2026-01-25 17:30:21,True,471352.0,27701257000127-1-000002/2025,57957163000184,57.957.163 FERNANDA SILVA DE CARVALHO,2026-01-25,4280.76,32.43,132.0,92931605900012025,9293160590001202500039,2025,2,27701257000127,929316,False,,False,,,,27701257000127-1-000002/2025,https://dadosabertos.compras.gov.br/modulo-material/4_consultarItemMaterial?codigoItem=471352,https://dadosabertos.compras.gov.br/modulo-material/2_consultarClasseMaterial?pagina=1&codigoClasse=8905,,
